id,name,rating,user_ratings_total,latitude,longitude,types1,types2,types3,types4,types5,types6,types7,latitude_region
496,Diocese of Austin,4.5,48.0,30.321415999999996,-97.7018625,tourist_attraction, church, place_of_worship, point_of_interest, establishment,,,North
501,Blunn Creek Nature Preserve,4.6,10.0,30.2328939,-97.7473141,tourist_attraction, park, point_of_interest, establishment,,,,North
502,ReVive!,4.7,32.0,30.2229967,-97.74586009999999,restaurant, food, point_of_interest, establishment,,,,North
503,Mueller Sunflowers,2.7,9.0,30.306612800000003,-97.7126821,museum, tourist_attraction, point_of_interest, establishment,,,,North
506,Jewboy Burgers,4.9,573.0,30.3127408,-97.7150455,restaurant, food, point_of_interest, establishment,,,,North
509,Waterloo Ice House Escarpment,4.3,628.0,30.203483600000002,-97.87890820000001,bar, restaurant, food, point_of_interest, establishment,,,North
207,Taqueria Mi Trailita,4.7,308.0,30.2999967,-97.6854754,restaurant, food, point_of_interest, establishment,,,,North
215,Littlefield Fountain,4.7,336.0,30.28386029999999,-97.7396014,tourist_attraction, point_of_interest, establishment,,,,,North
47,South Congress Square,4.2,93.0,30.2374261,-97.753006,shopping_mall, point_of_interest, establishment,,,,,North
49,Flavia’s Kitchen,5.0,25.0,30.2418788,-97.758414,restaurant, food, point_of_interest, establishment,,,,North
50,Establishment,4.1,43.0,30.231082,-97.76629,point_of_interest, establishment,,,,,,North
51,The Art of Ice Cream Experience,3.5,62.0,30.230744,-97.759996,museum, point_of_interest, establishment,,,,,North
52,Woodlands Park,4.8,6.0,30.179144,-97.84119090000002,park, tourist_attraction, point_of_interest, establishment,,,,Central
402,Chinatown Center,4.3,2068.0,30.378122899999997,-97.6862827,shopping_mall, point_of_interest, establishment,,,,,North
754,Fruttilandia,4.4,23.0,30.1805271,-97.74723259999999,restaurant, food, point_of_interest, establishment,,,,Central
755,Southpark Meadows,4.4,7701.0,30.161274300000002,-97.7917681,shopping_mall, point_of_interest, establishment,,,,,Central
757,Kikos Tacos,5.0,12.0,30.1604322,-97.7777062,restaurant, food, point_of_interest, establishment,,,,Central
99,Sala Thai Food,4.8,39.0,30.1492035,-97.84290490000001,restaurant, food, point_of_interest, establishment,,,,South
234,Valentina's Tex Mex BBQ,4.7,3232.0,30.1530326,-97.8337941,restaurant, food, point_of_interest, establishment,,,,Central
237,Parmer Crossing,4.1,1604.0,30.422051899999996,-97.7017436,shopping_mall, point_of_interest, establishment,,,,,North
240,Southwood Shopping Center,4.0,426.0,30.2272864,-97.7843603,shopping_mall, point_of_interest, establishment,,,,,North
245,Austin's Pizza Cuernavaca,4.1,125.0,30.34035699999999,-97.8632,meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment,,North
272,Q Bolá Cuba,4.9,73.0,30.398143100000006,-97.7269212,restaurant, food, point_of_interest, establishment,,,,North
273,Landmark Consolidated,3.0,2.0,30.404736800000002,-97.7463627,point_of_interest, establishment,,,,,,North
274,Armadillo Neighborhood Park,4.0,87.0,30.200090600000003,-97.7920554,park, tourist_attraction, point_of_interest, establishment,,,,North
280,Longview Neighborhood Park,4.5,250.0,30.202471799999998,-97.8262574,park, tourist_attraction, point_of_interest, establishment,,,,North
283,The Shops at Wells Branch,4.2,77.0,30.438397,-97.69747790000001,shopping_mall, point_of_interest, establishment,,,,,North
284,Wells Creek Greenbelt,4.1,14.0,30.423412899999995,-97.6843717,park, point_of_interest, establishment,,,,,North
763,Luby's,4.2,1247.0,30.170170199999998,-97.7975856,restaurant, food, point_of_interest, establishment,,,,Central
765,Viva Pueblito,4.7,3.0,30.15518579999999,-97.64130759999999,finance, point_of_interest, store, establishment,,,,Central
766,Old Moore's Crossing Neighborhood Park,1.0,1.0,30.153680800000004,-97.64501329999999,park, point_of_interest, establishment,,,,,Central
767,Los 4 Hermanos Neveria Y Fruteria #2,3.8,79.0,30.155252500000003,-97.6413542,restaurant, food, point_of_interest, establishment,,,,Central
700,The Village,4.2,546.0,30.358868599999997,-97.73449129999999,shopping_mall, point_of_interest, establishment,,,,,North
290,Gary Fish Memorial Hallway,4.5,2.0,30.3584989,-97.709675,museum, point_of_interest, establishment,,,,,North
292,Barton Creek Square,4.3,6717.0,30.25765269999999,-97.8072545,shopping_mall, point_of_interest, establishment,,,,,North
294,"Rudy's ""Country Store"" and Bar-B-Q",4.6,1750.0,30.263580199999996,-97.81549840000001,restaurant, food, point_of_interest, establishment,,,,North
295,Quail Creek Neighborhood Park,4.2,329.0,30.36894969999999,-97.7012809,park, tourist_attraction, point_of_interest, establishment,,,,North
299,Covert Park at Mount Bonnell,4.7,4219.0,30.321672200000002,-97.7732083,park, tourist_attraction, point_of_interest, establishment,,,,North
301,Chez Zee American Bistro,4.4,1613.0,30.336684,-97.75796290000001,bakery, bar, restaurant, food, point_of_interest, store, establishment,North
309,Givens District Park,4.2,513.0,30.276265000000002,-97.691812,park, tourist_attraction, point_of_interest, establishment,,,,North
316,Longhorn Dam,5.0,8.0,30.2504657,-97.7136022,point_of_interest, establishment,,,,,,North
325,Love Is The Question Mural,4.0,3.0,30.279958299999997,-97.7589142,tourist_attraction, point_of_interest, establishment,,,,,North
328,Jeffrey's,4.7,484.0,30.280423,-97.7591146,bar, restaurant, food, point_of_interest, establishment,,,North
332,Shops at Tech Ridge,4.3,629.0,30.4148026,-97.67090300000001,shopping_mall, point_of_interest, establishment,,,,,North
334,Tortilleria Krystal,4.0,288.0,30.4086239,-97.6482754,restaurant, food, point_of_interest, establishment,,,,North
341,Hielscher Tract Greenbelt,4.6,19.0,30.1939619,-97.8983906,park, point_of_interest, establishment,,,,,Central
343,Commons Ford Ranch Metropolitan Park,4.6,270.0,30.33630509999999,-97.891369,park, tourist_attraction, point_of_interest, establishment,,,,North
345,World's Largest Longhorn,3.8,15.0,30.286198600000002,-97.7425615,tourist_attraction, point_of_interest, establishment,,,,,North
351,Bee Creek Slew,5.0,1.0,30.307022999999997,-97.8120145,park, point_of_interest, establishment,,,,,North
517,Stone Windmill,4.4,7.0,30.2845841,-97.76571209999999,point_of_interest, establishment,,,,,,North
353,Ecology Action - Circle Acres Nature Preserve,4.5,10.0,30.2409587,-97.69710140000001,tourist_attraction, park, point_of_interest, establishment,,,,North
354,Delmy's Pupuseria,4.7,134.0,30.226416999999998,-97.705416,restaurant, food, point_of_interest, establishment,,,,North
358,Mission Street Burrito,5.0,23.0,30.2430858,-97.7304463,restaurant, food, point_of_interest, establishment,,,,North
359,Willie For President Mural,4.7,44.0,30.24889769999999,-97.7496196,point_of_interest, establishment,,,,,,North
361,Zilker Holiday Tree,4.7,51.0,30.266219399999997,-97.7712406,tourist_attraction, point_of_interest, establishment,,,,,North
362,Lamar Union Plaza,4.4,375.0,30.2557961,-97.7627332,shopping_mall, point_of_interest, establishment,,,,,North
363,Lou Neff Point,4.8,304.0,30.2672311,-97.7617013,tourist_attraction, park, point_of_interest, establishment,,,,North
364,Austin foody Moody,5.0,28.0,30.2518608,-97.75388690000001,restaurant, food, point_of_interest, establishment,,,,North
367,Little Walnut Creek Greenbelt,4.1,89.0,30.298976,-97.6670191,park, tourist_attraction, point_of_interest, establishment,,,,North
369,Fowler’s Smokin Soul Food,4.8,133.0,30.305823600000004,-97.679847,restaurant, food, point_of_interest, establishment,,,,North
231,Bauerle Ranch Park,4.5,179.0,30.1619743,-97.840333,park, tourist_attraction, point_of_interest, establishment,,,,Central
372,Taco Brother,4.8,127.0,30.206862199999996,-97.8356267,restaurant, food, point_of_interest, establishment,,,,North
374,Mesa Woods Shopping Center,4.5,25.0,30.3727601,-97.75592420000001,shopping_mall, point_of_interest, establishment,,,,,North
375,Hill School Park,4.8,12.0,30.375635499999998,-97.7486304,park, point_of_interest, establishment,,,,,North
380,Williamson Creek Greenbelt,4.4,63.0,30.203062699999997,-97.7655657,park, tourist_attraction, point_of_interest, establishment,,,,North
381,Stassney Heights Shopping Central,4.4,18.0,30.198739,-97.7657693,shopping_mall, point_of_interest, establishment,,,,,Central
383,Trudy's South Star,4.1,2450.0,30.197231800000004,-97.7670715,bar, restaurant, food, point_of_interest, establishment,,,Central
384,The Plantation at Comal Bluff,2.0,1.0,30.1922349,-97.7647921,point_of_interest, establishment,,,,,,Central
388,Texas DPS Historical Museum & Research Center,4.7,13.0,30.326596000000002,-97.7246002,museum, tourist_attraction, point_of_interest, establishment,,,,North
389,Cannon Oaks Shopping Center,4.1,143.0,30.2125962,-97.83023979999999,shopping_mall, point_of_interest, establishment,,,,,North
390,Western Oaks Park and Play,4.1,27.0,30.2205026,-97.85070490000001,park, point_of_interest, establishment,,,,,North
391,Cafe Malta,4.5,376.0,30.212607799999997,-97.8303015,cafe, bar, restaurant, food, point_of_interest, store, establishment,North
395,Oye Taquito,4.9,37.0,30.2209289,-97.8264219,restaurant, food, point_of_interest, establishment,,,,North
399,Honest Mary's,4.6,654.0,30.395195500000003,-97.7477816,restaurant, meal_takeaway, food, point_of_interest, establishment,,,North
407,The Shops at Arbor Walk,4.2,1687.0,30.3902012,-97.7328251,shopping_mall, point_of_interest, establishment,,,,,North
411,Northgate Shopping Center,4.1,611.0,30.363069899999996,-97.6981719,shopping_mall, point_of_interest, establishment,,,,,North
510,Tanglewood Park,4.3,96.0,30.431702,-97.781949,park, tourist_attraction, point_of_interest, establishment,,,,North
511,Oak Knoll Village,4.1,132.0,30.42875859999999,-97.7603648,shopping_mall, point_of_interest, establishment,,,,,North
514,Johnson Creek Greenbelt,4.5,81.0,30.2825657,-97.76662590000001,park, tourist_attraction, point_of_interest, establishment,,,,North
129,Hyridge Creek Park,4.3,4.0,30.3835179,-97.7572221,park, point_of_interest, establishment,,,,,North
75,Thai Cuisine,4.5,1122.0,30.4255218,-97.7169891,restaurant, food, point_of_interest, establishment,,,,North
76,South Hills Conservation Area,4.8,33.0,30.2172821,-97.816334,park, tourist_attraction, point_of_interest, establishment,,,,North
77,Towne Square,4.1,500.0,30.2020527,-97.80600940000001,shopping_mall, point_of_interest, establishment,,,,,North
78,Garrison Park,4.5,608.0,30.212007,-97.80051800000001,park, tourist_attraction, point_of_interest, establishment,,,,North
56,Willow Bend Park,4.5,75.0,30.455239799999998,-97.6805839,park, tourist_attraction, point_of_interest, establishment,,,,North
57,Goodwill,4.7,7.0,30.4604733,-97.6718051,shopping_mall, point_of_interest, establishment,,,,,North
59,Joe’s Italian Kitchen,4.4,245.0,30.4552146,-97.659496,restaurant, food, point_of_interest, store, establishment,,,North
60,Landmark Electric,3.5,4.0,30.467178499999996,-97.6620843,point_of_interest, establishment,,,,,,North
61,Parke Green,4.1,353.0,30.234557300000002,-97.72111650000001,shopping_mall, point_of_interest, establishment,,,,,North
79,Moreno Barbecue,4.9,69.0,30.215293900000002,-97.7986094,restaurant, food, point_of_interest, establishment,,,,North
81,Mayfield Cottage and Gardens,4.7,44.0,30.3128341,-97.7713974,park, tourist_attraction, point_of_interest, establishment,,,,North
